Date,Open,High,Low,Close,Adj Close,Volume
1/8/2019,149.559998,151.820007,148.520004,150.75,150.75,41025300
1/9/2019,151.289993,154.529999,149.630005,153.309998,153.309998,45099100
1/10/2019,152.5,153.970001,150.860001,153.800003,153.800003,35780700
1/11/2019,152.880005,153.699997,151.509995,152.289993,152.289993,27023200
1/14/2019,150.850006,151.270004,149.220001,150,150,32439200
1/15/2019,150.270004,153.389999,150.050003,153.070007,153.070007,28710900
1/16/2019,153.080002,155.880005,153,154.940002,154.940002,30569700
1/17/2019,154.199997,157.660004,153.259995,155.860001,155.860001,29821200
1/18/2019,157.5,157.880005,155.979996,156.820007,156.820007,33751000
1/22/2019,156.410004,156.729996,152.619995,153.300003,153.300003,30394000
1/23/2019,154.149994,155.139999,151.699997,153.919998,153.919998,23130600
1/24/2019,154.110001,154.479996,151.740005,152.699997,152.699997,25441500
1/25/2019,155.479996,158.130005,154.320007,157.759995,157.759995,33535500
1/28/2019,155.789993,156.330002,153.660004,156.300003,156.300003,26192100
1/29/2019,156.25,158.130005,154.110001,154.679993,154.679993,41587200
1/30/2019,163.25,166.149994,160.229996,165.25,165.25,61109800
1/31/2019,166.110001,169,164.559998,166.440002,166.440002,40739600
2/1/2019,166.960007,168.979996,165.929993,166.520004,166.520004,32668100
2/4/2019,167.410004,171.660004,167.279999,171.25,171.25,31495500
2/5/2019,172.860001,175.080002,172.350006,174.179993,174.179993,36101600
2/6/2019,174.649994,175.570007,172.850006,174.240005,174.240005,28239600
2/7/2019,172.399994,173.940002,170.339996,170.940002,170.940002,31688100
